"nombre","sku","categoriaId","impuestoId","costo","precioVenta","unidadMedida","stockInicial","stockMinimo","sucursalId"
"Producto JMeter 0001","JM-PROD-0001","3","2","26.17","35.07","Unidad","13","0","2"
"Producto JMeter 0002","JM-PROD-0002","3","2","27.34","37.73","Kilogramo","16","1","2"
"Producto JMeter 0003","JM-PROD-0003","3","2","28.51","40.48","Gramo","19","2","2"
"Producto JMeter 0004","JM-PROD-0004","3","2","29.68","43.33","Litro","22","3","2"
"Producto JMeter 0005","JM-PROD-0005","3","2","30.85","40.11","Metro","25","4","2"
"Producto JMeter 0006","JM-PROD-0006","3","2","32.02","42.91","Caja","28","5","2"
"Producto JMeter 0007","JM-PROD-0007","3","2","33.19","45.80","Paquete","31","6","2"
"Producto JMeter 0008","JM-PROD-0008","3","2","34.36","48.79","Docena","34","7","2"
"Producto JMeter 0009","JM-PROD-0009","3","2","35.53","51.87","Unidad","37","8","2"
"Producto JMeter 0010","JM-PROD-0010","3","2","36.70","47.71","Kilogramo","40","9","2"
"Producto JMeter 0011","JM-PROD-0011","3","2","37.87","50.75","Gramo","43","10","2"
"Producto JMeter 0012","JM-PROD-0012","3","2","39.04","53.88","Litro","46","11","2"
"Producto JMeter 0013","JM-PROD-0013","3","2","40.21","57.10","Metro","49","12","2"
"Producto JMeter 0014","JM-PROD-0014","3","2","41.38","60.41","Caja","52","13","2"
"Producto JMeter 0015","JM-PROD-0015","3","2","42.55","55.32","Paquete","55","14","2"
"Producto JMeter 0016","JM-PROD-0016","3","2","43.72","58.58","Docena","58","15","2"
"Producto JMeter 0017","JM-PROD-0017","3","2","44.89","61.95","Unidad","61","16","2"
"Producto JMeter 0018","JM-PROD-0018","3","2","46.06","65.41","Kilogramo","64","17","2"
"Producto JMeter 0019","JM-PROD-0019","3","2","47.23","68.96","Gramo","67","18","2"
"Producto JMeter 0020","JM-PROD-0020","3","2","48.40","62.92","Litro","70","19","2"
"Producto JMeter 0021","JM-PROD-0021","3","2","49.57","66.42","Metro","73","0","2"
"Producto JMeter 0022","JM-PROD-0022","3","2","50.74","70.02","Caja","76","1","2"
"Producto JMeter 0023","JM-PROD-0023","3","2","51.91","73.71","Paquete","79","2","2"
"Producto JMeter 0024","JM-PROD-0024","3","2","53.08","77.50","Docena","82","3","2"
"Producto JMeter 0025","JM-PROD-0025","3","2","54.25","70.53","Unidad","85","4","2"
"Producto JMeter 0026","JM-PROD-0026","3","2","55.42","74.26","Kilogramo","88","5","2"
"Producto JMeter 0027","JM-PROD-0027","3","2","56.59","78.09","Gramo","91","6","2"
"Producto JMeter 0028","JM-PROD-0028","3","2","57.76","82.02","Litro","94","7","2"
"Producto JMeter 0029","JM-PROD-0029","3","2","58.93","86.04","Metro","97","8","2"
"Producto JMeter 0030","JM-PROD-0030","3","2","60.10","78.13","Caja","100","9","2"
"Producto JMeter 0031","JM-PROD-0031","3","2","61.27","82.10","Paquete","103","10","2"
"Producto JMeter 0032","JM-PROD-0032","3","2","62.44","86.17","Docena","106","11","2"
"Producto JMeter 0033","JM-PROD-0033","3","2","63.61","90.33","Unidad","109","12","2"
